"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","451","INTERNSHIP-108252 Koel app | Log in","TestNG","Tue Feb 17 21:23:45 UTC 2026","passed","Tue Feb 17 21:23:46 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginwithcorrectPasswordTest"
"","1368","renamePlaylistFlow","TestNG","Tue Feb 17 21:24:08 UTC 2026","passed","Tue Feb 17 21:24:10 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","renamePlaylistFlow"
"","339","loginValidationMessages","TestNG","Tue Feb 17 21:23:47 UTC 2026","passed","Tue Feb 17 21:23:47 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","1695","Database-Driven Testing Dinámico","TestNG","Tue Feb 17 21:24:06 UTC 2026","passed","Tue Feb 17 21:24:07 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyArtistNameFromDatabase"
"","3392","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","TestNG","Tue Feb 17 21:23:41 UTC 2026","passed","Tue Feb 17 21:23:44 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","verifyInfoPanelAndNavigation"
"","323","loginWithDeepLink","TestNG","Tue Feb 17 21:23:49 UTC 2026","passed","Tue Feb 17 21:23:50 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginWithDeepLink"
"","1517","User should be able to log out after updating email and password","TestNG","Tue Feb 17 21:24:03 UTC 2026","passed","Tue Feb 17 21:24:05 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","updateProfile"
"","306","loginValidationMessages","TestNG","Tue Feb 17 21:23:48 UTC 2026","passed","Tue Feb 17 21:23:48 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","loginValidationMessages"
"","10531","User should be able to log out after successful login, User should be navigated to the Login page after logging out","TestNG","Tue Feb 17 21:23:50 UTC 2026","passed","Tue Feb 17 21:24:01 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutAfterUpdateTest"
"","545","Log student out’ button should be present on the homepage, next to ‘Profile’ button","TestNG","Tue Feb 17 21:24:02 UTC 2026","passed","Tue Feb 17 21:24:02 UTC 2026","LoginTests","Internship Sprint 9","LoginTests","logoutUIVerificationTest"
